Date,Index
2013-05-16,853.0
2013-05-15,854.0
2013-05-14,857.0
2013-05-13,861.0
2013-05-10,866.0
2013-05-09,869.0
2013-05-08,872.0
2013-05-07,874.0
2013-05-02,880.0
2013-05-01,884.0
2013-04-30,888.0
2013-04-29,895.0
2013-04-26,900.0
2013-04-25,904.0
2013-04-24,905.0
2013-04-23,903.0
2013-04-22,902.0
2013-04-19,902.0
2013-04-18,898.0
2013-04-17,899.0
2013-04-16,900.0
2013-04-15,902.0
2013-04-12,902.0
2013-04-10,900.0
2013-04-09,902.0
2013-04-08,907.0
2013-04-05,912.0
2013-04-04,915.0
2013-04-03,924.0
2013-04-02,933.0
2013-03-28,944.0
2013-03-27,965.0
2013-03-26,977.0
2013-03-22,978.0
2013-03-21,968.0
2013-03-20,959.0
2013-03-19,950.0
2013-03-15,925.0
2013-03-14,913.0
2013-03-13,903.0
2013-03-12,889.0
2013-03-11,876.0
2013-03-08,864.0
2013-03-07,852.0
2013-03-06,837.0
2013-03-05,818.0
2013-03-04,801.0
2013-03-01,781.0
2013-02-28,764.0
2013-02-27,745.0
2013-02-26,734.0
2013-02-25,724.0
2013-02-22,717.0
2013-02-21,705.0
2013-02-20,695.0
2013-02-19,687.0
2013-02-18,679.0
2013-02-15,672.0
2013-02-14,667.0
2013-02-13,664.0
2013-02-12,668.0
2013-02-11,666.0
2013-02-08,669.0
2013-02-07,671.0
2013-02-05,677.0
2013-02-04,681.0
2013-02-01,682.0
2013-01-31,684.0
2013-01-30,688.0
2013-01-29,695.0
2013-01-28,710.0
2013-01-25,711.0
2013-01-24,712.0
2013-01-23,713.0
2013-01-22,721.0
2013-01-21,728.0
2013-01-18,730.0
2013-01-17,735.0
2013-01-16,738.0
2013-01-15,740.0
2013-01-14,743.0
2013-01-11,745.0
2013-01-09,741.0
2013-01-08,740.0
2013-01-07,739.0
2013-01-04,739.0
2013-01-03,739.0
2013-01-02,737.0
2012-12-24,728.0
2012-12-21,732.0
2012-12-20,735.0
2012-12-19,738.0
2012-12-18,738.0
2012-12-17,742.0
2012-12-14,745.0
2012-12-13,746.0
2012-12-12,748.0
2012-12-11,751.0
2012-12-10,751.0
2012-12-07,760.0
2012-12-06,765.0
2012-12-04,771.0
2012-12-03,772.0
2012-11-30,766.0
2012-11-29,760.0
2012-11-28,751.0
2012-11-26,732.0
